source_label,source,target_label,target
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,Browse,https://handrit.is/en/manuscript/browse/uniform
»,https://handrit.is/en/manuscript/view/en/AM02-0201,,https://handrit.is/en/admin
handrit.is,https://handrit.is/en/,"ÍBR 1 4to",https://handrit.is/en/manuscript/view/is/IBR04-0001
Browse,https://handrit.is/en/manuscript/browse/uniform,"Ad tertiam",https://handrit.is/en/manuscript/list/uniform?v=Ad+tertiam
Browse,https://handrit.is/en/manuscript/browse/uniform,Nicknames,https://handrit.is/en/manuscript/browse/alias
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM08-265,Heim,https://handrit.is/is/
Browse,https://handrit.is/en/manuscript/browse/uniform,"Andlegt versasafn",https://handrit.is/en/manuscript/list/uniform?v=Andlegt+versasafn
«,https://handrit.is/en/manuscript/view/en/AM02-020-h,,https://handrit.is/en/admin
»,https://handrit.is/en/manuscript/view/en/AM04-0354,Browse,https://handrit.is/en/manuscript/browse/uniform
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/Rask115,"Sækja XML færslu",https://handrit.is/is/manuscript/xml/Rask115-en.xml
»,https://handrit.is/en/manuscript/view/en/AM08-266,Browse,https://handrit.is/en/manuscript/browse/uniform
"Konung Magnus Erikssons Landslag. Codex juris communis Sueciæ Magnæanus, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur10,Home,https://handrit.is/en/
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/view/da/AM02-0242
Browse,https://handrit.is/en/manuscript/browse/uniform,Axarhamarsmáldagi,https://handrit.is/en/manuscript/list/uniform?v=Axarhamarsm%C3%A1ldagi
,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM04-0353,"Send Feedback on Manuscript",https://handrit.is/da/popup/feedback/en/AM04-0353
«,https://handrit.is/en/manuscript/view/en/AM02-020-h,"Birger Thorlacius",https://handrit.is/en/biography/view/BirTho001
,https://handrit.is/en/manuscript/list/keyword/kvad,Search,https://handrit.is/en/search/regular
